Result
"Living conditions for animals considered optimal on earth cannot be provided in the confines of a space satellite. Microgravity, apart from purely technical limitations of the housing hardware, may disrupt ..."
"All flight and ground control mice were observed to be in good condition by veterinary examination immediately post-landing. Noticeably, the posture of space-flown mouse tails after landing was vertical, indicating ..."
"Microgravity presents a unique and multifaceted challenge for human biology, profoundly influencing cellular systems and physiological processes. This environment, distinct from terrestrial conditions, disrupts key biological functions such as immune ..."
"Cells were expanded for three passages before characterization using flow cytometry and combinations of mesenchymal-cell surface markers. We found that 94.9 ± 3.3% of cells were positive for CD105, CD90, ..."
"In order to assess the functionality of PCR in microgravity conditions and to establish the dynamic range and efficiency of amplification, we designed a robust quality control qPCR assay to ..."
"Immediately after landing, all flight (FLT) and ground (GRD) control mice were determined to be in good condition by veterinary examination. Figure 1 shows the schematic of the experiment design ..."
"To evaluate the individual effects of radiation type, our study queried a dose response to high-LET 56 Fe or low-LET protons (see Methods below for details) at one day, seven ..."
No result found
"Of all three methods tested, the new (K FEA ) method produced the lowest variation in fatigue life. The mean value of the applied force was the same for all ..."
"For monotonic compression testing, the vertebral strength, ultimate strain, and work-to-fracture were lower than the control group for radiation exposures of 17,000 and 35,000 Gy but were not different than ..."
"Studies using whole muscles from animal models of the dystrophies are made more complex by the presence of multiple cell types, as well as pathological processes such as fibrosis. Therefore, ..."
The four RabD family members in Arabidopsis share about 88% identity at the amino acid level. The accumulation pattern of the associated transcripts is quite distinct across a wide variety ...
"SYP41 is a t-SNARE at the TGN that is required for vesicle fusion in Arabidopsis and forms a complex with VTI12, SYP61, and AtVPS45 ( Bassham and Raikhel, 2000 ; ..."
"AtGTLP is predicted to be a membrane-anchored protein comprising of 568 residues. DeepTMHMM ( Hallgren et al. 2022 ; https://dtu.biolib.com/DeepTMHMM, accessed Nov 1, 2023) transmembrane topology prediction model for this ..."
"Mutants lacking TNO1 have normal root elongation, but show a lag in root gravitropic bending upon gravistimulation [ 36 ]. Positive gravitropism is a key component driving root waving and ..."
"Auxin signaling pathways are integral to LR development during root architecture establishment ( Lavenus et al., 2013 ). Polar auxin transport mediates emergence of LRs from the primary axis, and ..."
"Mutants lacking TNO1 have normal root elongation, but show a lag in root gravitropic bending upon gravistimulation [ 36 ]. Positive gravitropism is a key component driving root waving and ..."
"We first analyzed the expression of spag4 mRNA by RT-PCR, and observed that spliced mRNA is found only in male larvae, pupae and adults ( Fig. 1A ), suggesting testis-specific ..."
The first goal was to test our hypothesis that the immune response of Drosophila would be affected by changes in gravity at the organismal level. The simplest immune function assay ...
No result found
"To study the impact of space radiation on the cardiovascular system we utilized three GeneLab datasets (GLDS-52, -117, and -109). As described in detail in the methods, two datasets were ..."
no result found        
"Using primarily in vivo animal models and their associated curated datasets available from the NASA GeneLab’s omics database, an examination of biological responses as a function of radiation dose was ..."
"To validate the predicted spaceflight-associated miRNA panel, we quantified their changes in response to ground analogs of individual spaceflight stressors in rodent models: simulated microgravity using hindlimb unloading (HU) ( ..."
"The first shotgun metagenome sequencing of intact microbial cells (Propidium monoazide-PMA treated) without whole-genome amplification was performed by Singh et al. [ 43 ]. There, samples were taken in 8 ..."
"The current data reveal a scarcity of knowledge about the impact of space radiation and microgravity on gynecologic cancer, as there have been insufficient numbers of female astronauts exposed to ..."
"Previous studies showed that the muscle and the liver are differentially affected by metabolic changes during spaceflight ( da Silveira et al., 2020 ). Here, we first investigated the commonalities ..."
"To analyze DNA methylation patterns caused by high-LET ( 56 Fe, 28 Si) and low-LET (X-ray) participles, we used publicly available data set 6 . The schematic representation of performed ..."
"SARS-CoV-2 and its resultant acute and chronic diseases, COVID-19 and PASC, have caused significant impacts worldwide. Here we describe and review the latest knowledge about the viral effect on our ..."
"To determine the impact of frailty during spaceflight, we constructed, based on previous literature 19 – 22 , a list of putative frailty biomarker genes for humans and mice (Supplementary ..."
"We investigated the cellular alterations associated with the protective roles of three antagomirs targeting miR-16-5p, miR-125b-5p, and let7a-5p in a 3D human microvasculature model. Firstly, we examined the effect of ..."
"We are entering an exciting new era of space exploration previously only thought of as science fiction. Commercial/private and civilian spaceflights, such as Inspiration4 and the Polaris missions are no ..."
"Fly survival was significantly lower when infected with spaceflight-exposed Serratia marcescens samples compared to the ground control bacterial samples (Fig. 1 ). For the first spaceflight sample (Space 1), survival ..."
No result found
No result found
"Approximately 20,000 T-DNA activation-tagged seedlings in the Col-0 background were grown on media supplemented with 100 nM LatB . Seedlings with significantly reduced primary root length were isolated and their ..."
No result found
"Previous reports have shown that LatB and eBL promoted gravitropism in roots ( Hou et al., 2003 ; Hou et al., 2004 ; Li et al., 2005 ; Kim et ..."
"To the best of our knowledge, plant lines expressing genetically encoded [Ca 2+ ] cyt sensors that are available to the scientific community are driven by constitutive promoters. A. thaliana ..."
We previously described a forward genetic screen that led to the isolation of three nonallelic recessive Arabidopsis mutants that were hypersensitive to the growth inhibitory effects of LatB. The hypersensitive ...
"Figure 1 A presents an overview of three MHU missions (MHU-1, -4, and -5). C57BL/6J male mice in the Transporting Cage Unit (TCU) were launched aboard the SpaceX Dragon Space ..."
"With multiple oligomeric states identified in vitro, we devised a disulfide-trapping strategy to identify the oligomeric state of MscL in bacterial membranes. Using this approach, we were able to directly ..."
"It has been assumed that, because of its large pore size, MscL has no ionic preference. Therefore, for this study, we initially sought to determine whether this was indeed the ..."
No result found
"As shown in Figure 1a , the X-ray crystal structure of the M. tuberculosis MscL channel shows a pentameric structure in which the five subunits, at the c-terminal, form an ..."
In this work we study protein-protein interactions between S1 (S2-M12) and TM2 ci (F93-K105) residues in E. coli MscL channel ( Fig. 1 ) by using an in vivo disulfide ...
No result found
"In an attempt to correlate channel kinetics with specific regions of the protein, numerous chimeras of the Eco- and Sa-MscL channel proteins were generated. Figure 1 shows the locations of ..."
No result found
No result found
We selected 12 SAHS proteins from R. varieornatus and one from H. exemplaris to test for expression in the E. coli cytoplasm (Table S1 ). R. varieornatus is the most ...
No result found
"We examined changes in the subcellular localization of anhydrobiosis-related proteins in R. varieornatus induced by hyperosmotic stress, which is thought to be an early step in anhydrobiosis. Six types of ..."
"The overall level of intracellular Reactive Oxygen Species (ROS) was assessed using the fluorescent probe 2,7-dichlorodihydrofluorescein diacetate (DCFH 2 -DA) 55 , 56 . The ROS production in anhydrobiosis was ..."
"For each of the 21 days of the study, static values of effective body mass were set within 1 g of the desired weight-bearing level (mean error = −4.1 ± ..."
"There were no differences in gait parameters among the three 100% loading conditions (harnessed at 100% weight bearing, vest alone, no vest), except for stance width ( p =0.03), which ..."
"As anticipated, mice exposed to spaceflight had a lower gastrocnemius muscle mass than ground controls, although the difference did not reach significance (102±32 mg for spaceflight; 112±22 mg for ground ..."
"To assess the severity of steatosis and inflammation, liver samples were stained in hematoxylin and eosin (H&E) and ORO and analyzed by light microscopy and digital image analysis (DIA) 22 ..."
"Body mass was unchanged in the CON‐VEH and CON‐mBMPR1A‐mFc groups, whereas both HLU groups experienced a transient decrease in body mass compared to baseline in the first 3 days. However, ..."
"Hindlimb unloading did not alter the quality of RNAseq data. For both groups, individual specimens yielded ~22 million reads with high unique mapping rates (79% for controls and 81% for ..."
"For the heart proteome, there were 87 significant DEPs ( Supplementary Table S1 ); for the heart phosphoproteome, there were 60 significant differentially phosphorylated peptides ( Supplementary Table S3 ); ..."
"When the platform upon which the snail is attached is suddenly pitched from horizontal to vertical, the snail displays a fear-like reaction by fully or partially withdrawing its tentacles (designed ..."
Figure 1 shows a micro-computed tomography scan (a) and a macroscopic view at the light level (b) of the left labyrinth and the 3 sensory epithelia supplied by the superior ...
Response properties of utricular afferent were studied in control fish housed in 1 g to establish baseline measures needed for direct comparison within and across fish exposed to the different ...
A useful guide for the biologist’s view of the cell has been that structure reflects function. This perspective has been powerfully applied to the study of membrane traffic with an ...
No result found
"To examine whether ER stress modulates the transcription of auxin regulators, we monitored the expression of four auxin co-receptors: TIR1 , AFB1 , AFB2 , and AFB3 ( TIR1 / ..."
No result found
MUR3 encodes an XyG -specific galactosyltransferase responsible for most of the galactosylation of Arabidopsis XyG . To address the possibility that altered XyG structure leads to the phenotypes of Arabidopsis ...
No result found
"After having gone through the information and arguments presented above, it will not come as a surprise to the reader that the authors found themselves unable to reach a consensus ..."
"Cell wall composition of Col-0 (wild type), cgr2/3 complemented with CGR2 (cgr2com), CGR2OX, and cgr2/3 was analyzed to determine whether the previously observed changes in methylesterification and modification of cell ..."
We obtained one mutant allele of REC1 that we named rec1-1 from a screen for genomes uncoupled ( gun ) mutants ( 12 ). gun alleles disrupt the plastid-to-nucleus signaling ...
No result found
"We first aimed to test whether ER stress activates NADPH Oxidases by establishing the levels of O 2 − , the product of NADPH Oxidases, in seedlings subjected to induced ..."
"When we inspected the WT and UPR-mutant seedlings ( atire1 , bzip60 , bzip28 , and bzip28 bzip60 ) of the ground control and flight samples at the completion of ..."
"A total of 408 exact sequence variants (ESVs) were assembled and captured 71.78% of the total 4,837,317 amplicons sequenced, including 213 ESVs present in all six astronauts in the early ..."
No result found
"To test the relative impact of high- versus low-LET radiation on root growth, a process governed by both cell division and cell expansion, seeds were irradiated with either high-LET 56 ..."
"Flight operations were conducted on November 17, 2017 onboard a Boeing 727-200F aircraft (G-Force One®, Zero Gravity Corporation). Four sets of parabolas were performed with 5, 6, 4, and 5 ..."
"The relative contents of beta-actin, gamma-actin, alpha-actinin-1, alpha-actinin-4, and beta-tubulin in the membrane fraction of the right ventricle of the heart were similar among the B, V, G and F ..."
"Soleus, extensor digitorum longus (EDL) and tibialis anterior (TA) muscle samples from the flight (F), ground control (GC), and vivarium control (VIV) groups were obtained from the BION-M1 mission as ..."
No result found
"CPCs were clonally isolated, expanded, screened for the co-expression of Isl1 and c-Kit, assessed for viability, and ultimately selected for experiments based upon the expression of early developmental markers (Mesp1, ..."
"There are several terrestrial-based radiation injury prevention products, either in routine clinical use or undergoing testing through other U.S. government programs such as NCI and NIAID, that could be used ..."
"The E. faecalis isolates recovered from air samples (ISS_1 and ISS_4) were both collected mid-module. ISS_1 was isolated from air samples collected in the United States Lab in 2009, and ..."
"In previous work, we found that macrophage growth was enhanced by space flight. However, the flight conditions necessitated that the cells differentiated at less than optimal physiological temperatures ( Armstrong ..."
"To identify host genes that are necessary for E. chaffeensis infection, we examined transcript levels of Drosophila S2 cells under four different conditions at 24 h p.i. to assess the ..."
"E. chaffeensis is capable of infecting and completing its life cycle in Drosophila S2 cells and adult flies ( Luce-Fedrow et al., 2008 , 2009 ). Recent work by our ..."
"We screened a 297-member library of natural compounds with anti-inflammatory properties (see Table S1 ). The compounds belong to 17 distinct classes of natural compounds (Fig. 1 A). Alkaloids, phenols, ..."
No result found
"We generated bone marrow chimeric mice, reconstituted with either WT or db / db bone marrow, to investigate whether leptin signaling is involved in ATM recruitment and promotion of a ..."
No result found
"Most studies of Ig gene-segment use frequency have used single-cell suspensions or sorted to isolate specific cell populations ( Aoki-Ota et al., 2012 ; Collins et al., 2015 ; Kaplinsky ..."
"We obtained between 8,714 and 11,200 IgH individual productive reads, and between 14,271 and 28,756 individual IgH reads of unknown functionality as identified by IMGT HighV-Quest ( Table 1 ). ..."
"B cells originate in the bone marrow from hematopoietic precursors, traffic through the periphery and enter the spleen where they are further selected and mature ( Loder et al., 1999 ..."
No result found
"Expression levels of endogenous wild-type (WT) FVIII levels are relatively low, 23 and the corresponding coding region exceeds the natural packaging limit for AAV. We addressed this by cloning codon-optimized ..."
"Expression levels of endogenous wild-type (WT) FVIII levels are relatively low, 23 and the corresponding coding region exceeds the natural packaging limit for AAV. We addressed this by cloning codon-optimized ..."
"To characterize the baseline Ab repertoire of C57BL6/J mice, we sequenced three pools, each containing equal amounts of RNA from the spleens of four different female mice ( Tables I ..."
Estrous cycle stage for each mouse was determined by three independent investigators blinded to treatment group categories. Figure 1 shows representative H&E stained cross sections of vaginal wall tissue from ...
"To examine how spaceflight affects final cell density, P. aeruginosa PA14 was grown aboard the Space Shuttle Atlantis during STS-135 in specialized hardware, known as a fluid processing apparatus (FPA). ..."
"To assess the effects of spaceflight on biofilm formation, we cultured P. aeruginosa biofilms and quantitatively compared biofilm formation between spaceflight and normal gravity. The number of viable cells within ..."
"There are three distinct steps to the RCP, the first of which is data preprocessing ( Figure 2 A). The pipeline begins with quality control (QC) of raw FASTQ files ..."
No result found
